,cps19_fed_gov_sat,cps19_spend_env,cps19_fed_id,cps19_province,cps19_education,cps19_age,cps19_imp_iss_party
17029,Fairly satisfied,Spend more,ndp,Alberta,Bachelor's degree,29,Green Party
17030,Very satisfied,Spend about the same as now,Liberal,Quebec,Professional degree or doctorate,42,Liberal Party
17031,Fairly satisfied,Spend more,ndp,British Columbia,"Completed technical, community college, CEGEP, College Classique",37,ndp
17032,Fairly satisfied,Spend more,Liberal,Quebec,Some university,80,Liberal Party
17033,Fairly satisfied,Spend more,Liberal,Alberta,Bachelor's degree,37,Liberal Party
17034,Fairly satisfied,Spend more,Liberal,Newfoundland and Labrador,"Completed technical, community college, CEGEP, College Classique",53,Liberal Party
17035,Not at all satisfied,Spend more,Conservative,Alberta,"Completed technical, community college, CEGEP, College Classique",58,Conservative Party
17036,Not very satisfied,Spend about the same as now,Conservative,Ontario,Bachelor's degree,44,Conservative Party
17037,Not at all satisfied,Spend more,Conservative,Saskatchewan,Some university,63,Conservative Party
17038,Very satisfied,Spend more,Liberal,Ontario,"Some technical, community college, CEGEP, College Classique",59,
17039,Not at all satisfied,Spend more,Conservative,Quebec,Bachelor's degree,56,Conservative Party
17040,Fairly satisfied,Spend more,Don't know/ Prefer not to answer,Alberta,No schooling,44,
17041,Fairly satisfied,Spend more,Liberal,Ontario,Some secondary/ high school,37,
17042,Very satisfied,Spend more,Liberal,Quebec,Some elementary school,38,
17043,Fairly satisfied,Don't know/ Prefer not to answer,ndp,British Columbia,Some university,22,ndp
17044,Not very satisfied,Spend more,Liberal,British Columbia,Some university,39,
17045,Fairly satisfied,Spend about the same as now,Liberal,New Brunswick,Some secondary/ high school,20,Liberal Party
17046,Fairly satisfied,Spend more,Don't know/ Prefer not to answer,Alberta,Master's degree,33,
17047,Fairly satisfied,Spend more,Liberal,Ontario,Some secondary/ high school,42,ndp
17048,Not at all satisfied,Spend more,Don't know/ Prefer not to answer,British Columbia,Some university,21,
17049,Fairly satisfied,Spend more,Liberal,Nunavut,"Completed technical, community college, CEGEP, College Classique",39,Conservative Party
17050,Fairly satisfied,Spend more,Liberal,Ontario,"Completed technical, community college, CEGEP, College Classique",50,Liberal Party
17051,Not at all satisfied,Spend about the same as now,Conservative,Ontario,Some university,37,Conservative Party
17052,Not at all satisfied,Spend about the same as now,Conservative,Ontario,Some university,70,Conservative Party
17053,Not at all satisfied,Spend more,Conservative,Alberta,"Completed technical, community college, CEGEP, College Classique",65,Conservative Party
17054,Not very satisfied,Spend more,Don't know/ Prefer not to answer,British Columbia,Completed secondary/ high school,51,Don't know/ Prefer not to answer
17055,Fairly satisfied,Spend more,Liberal,Alberta,Bachelor's degree,52,
17056,Not very satisfied,Spend more,Green,Ontario,"Completed technical, community college, CEGEP, College Classique",44,Don't know/ Prefer not to answer
17057,Not very satisfied,Spend more,Liberal,Quebec,Some university,41,Don't know/ Prefer not to answer
17058,Fairly satisfied,Spend more,Conservative,Northwest Territories,"Some technical, community college, CEGEP, College Classique",58,
17059,Fairly satisfied,Spend more,Liberal,British Columbia,"Completed technical, community college, CEGEP, College Classique",66,Green Party
17060,Fairly satisfied,Spend more,ndp,Ontario,Professional degree or doctorate,58,
17061,Not at all satisfied,Spend more,ndp,Saskatchewan,"Completed technical, community college, CEGEP, College Classique",50,Green Party
17062,Not very satisfied,Don't know/ Prefer not to answer,Don't know/ Prefer not to answer,British Columbia,"Completed technical, community college, CEGEP, College Classique",40,Don't know/ Prefer not to answer
17063,Fairly satisfied,Spend more,ndp,Ontario,Bachelor's degree,64,Another party (please specify)
17064,Not at all satisfied,Spend more,ndp,British Columbia,"Some technical, community college, CEGEP, College Classique",61,ndp
17065,Fairly satisfied,Spend more,Liberal,Quebec,Some university,52,Liberal Party
17066,Not very satisfied,Spend about the same as now,Liberal,British Columbia,"Completed technical, community college, CEGEP, College Classique",55,Don't know/ Prefer not to answer
17067,Fairly satisfied,Spend more,Liberal,Ontario,Bachelor's degree,42,
17068,Not very satisfied,Spend more,Liberal,Alberta,Some university,35,
17069,Fairly satisfied,Spend more,Bloc Qu<e9>b<e9>cois,Quebec,Bachelor's degree,57,Conservative Party
17070,Not at all satisfied,Spend more,Bloc Qu<e9>b<e9>cois,Quebec,Some secondary/ high school,63,Green Party
17071,Fairly satisfied,Spend about the same as now,ndp,Quebec,Completed secondary/ high school,52,
17072,Fairly satisfied,Spend about the same as now,Conservative,Nova Scotia,Completed secondary/ high school,58,Liberal Party
17073,Not at all satisfied,Spend about the same as now,ndp,Quebec,Completed secondary/ high school,57,Conservative Party
17074,Fairly satisfied,Spend more,Conservative,New Brunswick,"Some technical, community college, CEGEP, College Classique",64,Don't know/ Prefer not to answer
17075,Not very satisfied,Spend more,None of these,Quebec,Completed secondary/ high school,72,Conservative Party
17076,Not very satisfied,Spend more,Liberal,Nova Scotia,Bachelor's degree,42,Don't know/ Prefer not to answer
17077,Not at all satisfied,Spend more,ndp,Quebec,Completed secondary/ high school,37,Don't know/ Prefer not to answer
17078,Not at all satisfied,Spend about the same as now,None of these,Ontario,"Completed technical, community college, CEGEP, College Classique",40,
17079,Not very satisfied,Spend about the same as now,None of these,Newfoundland and Labrador,Master's degree,55,
17080,Not at all satisfied,Spend more,Bloc Qu<e9>b<e9>cois,Quebec,"Completed technical, community college, CEGEP, College Classique",66,
17081,Fairly satisfied,Spend more,Conservative,Nova Scotia,Some university,66,Liberal Party
17082,Fairly satisfied,Spend more,Liberal,Nova Scotia,Some university,65,Liberal Party
17083,Fairly satisfied,Spend about the same as now,Bloc Qu<e9>b<e9>cois,Quebec,"Completed technical, community college, CEGEP, College Classique",40,Liberal Party
