,cps19_fed_gov_sat,cps19_spend_env,cps19_fed_id,cps19_province,cps19_education,cps19_age,cps19_imp_iss_party
0,Not very satisfied,Don't know/ Prefer not to answer,Don't know/ Prefer not to answer,Quebec,Master's degree,30,Green Party
1,Not very satisfied,Spend more,Green,Quebec,Master's degree,21,Green Party
2,Fairly satisfied,Spend more,Liberal,Ontario,Some university,19,
3,Not very satisfied,Spend about the same as now,Conservative,Ontario,Some university,21,Conservative Party
4,Not very satisfied,Spend more,Conservative,Ontario,Completed secondary/ high school,19,Don't know/ Prefer not to answer
5,Fairly satisfied,Spend more,Liberal,Ontario,Some university,20,
6,Not very satisfied,Spend more,Conservative,Ontario,Completed secondary/ high school,21,Don't know/ Prefer not to answer
7,Not very satisfied,Spend more,Liberal,Ontario,Some university,21,Green Party
8,Fairly satisfied,Spend more,Liberal,Ontario,Completed secondary/ high school,19,Liberal Party
9,Not at all satisfied,Spend about the same as now,ndp,Ontario,Completed secondary/ high school,19,
10,Not at all satisfied,Spend more,Conservative,Ontario,Some university,21,Green Party
11,Fairly satisfied,Spend more,Liberal,Ontario,Completed secondary/ high school,20,Green Party
12,Fairly satisfied,Spend more,Liberal,Ontario,Some university,19,Green Party
13,Fairly satisfied,Spend more,Liberal,Ontario,Some university,21,Liberal Party
14,Not very satisfied,Spend more,Green,Ontario,Completed secondary/ high school,19,Green Party
15,Fairly satisfied,Spend more,Liberal,Ontario,Completed secondary/ high school,19,Liberal Party
16,Fairly satisfied,Spend more,Liberal,Ontario,Completed secondary/ high school,19,Green Party
17,Not very satisfied,Spend more,Green,Ontario,Some university,19,Green Party
18,Not very satisfied,Spend about the same as now,ndp,Ontario,Some university,21,
19,Not very satisfied,Spend more,ndp,Ontario,Completed secondary/ high school,19,Liberal Party
20,Not very satisfied,Spend more,Conservative,Ontario,Completed secondary/ high school,19,Conservative Party
21,Fairly satisfied,Spend more,Liberal,Ontario,Some university,20,Liberal Party
22,Not very satisfied,Spend more,Green,Ontario,Completed secondary/ high school,19,Liberal Party
23,Fairly satisfied,Spend more,Liberal,Ontario,Some university,19,
24,Not very satisfied,Spend more,Liberal,Ontario,Completed secondary/ high school,19,Green Party
25,Fairly satisfied,Spend more,Liberal,Ontario,Some secondary/ high school,22,
26,Not very satisfied,Spend more,Liberal,Ontario,Completed secondary/ high school,20,ndp
27,Not very satisfied,Spend more,Don't know/ Prefer not to answer,Ontario,Completed secondary/ high school,19,Don't know/ Prefer not to answer
28,Not very satisfied,Spend more,Liberal,Ontario,Some university,19,Liberal Party
29,Fairly satisfied,Spend more,Liberal,Ontario,Some secondary/ high school,19,
30,Not at all satisfied,Spend less,Conservative,Ontario,Completed secondary/ high school,20,Conservative Party
31,Fairly satisfied,Spend more,Liberal,Ontario,Some university,24,Green Party
32,Not very satisfied,Spend more,ndp,Ontario,Some university,21,Green Party
33,Don't know/ Prefer not to answer,Spend more,Liberal,Ontario,Some secondary/ high school,19,Don't know/ Prefer not to answer
34,Fairly satisfied,Spend about the same as now,Conservative,Ontario,Some university,19,Liberal Party
35,Don't know/ Prefer not to answer,Spend more,Don't know/ Prefer not to answer,Ontario,Completed secondary/ high school,19,
36,Very satisfied,Spend more,Liberal,Ontario,Some university,22,Liberal Party
37,Not at all satisfied,Spend more,Conservative,Ontario,Completed secondary/ high school,19,
38,Fairly satisfied,Spend more,Liberal,Ontario,Some university,19,ndp
39,Not very satisfied,Spend more,ndp,Ontario,Some university,19,ndp
40,Fairly satisfied,Spend more,Liberal,Ontario,Some university,19,Liberal Party
41,Not very satisfied,Spend more,Conservative,Ontario,Completed secondary/ high school,21,Don't know/ Prefer not to answer
42,Fairly satisfied,Spend more,Green,Ontario,Some university,21,Green Party
43,Fairly satisfied,Spend more,Liberal,Ontario,Some university,21,Liberal Party
44,Not very satisfied,Spend more,ndp,Ontario,Some secondary/ high school,20,ndp
45,Don't know/ Prefer not to answer,Spend about the same as now,Don't know/ Prefer not to answer,Ontario,Some university,23,
46,Not very satisfied,Spend more,Liberal,Ontario,Some university,19,Liberal Party
47,Not very satisfied,Spend more,ndp,Ontario,Completed secondary/ high school,19,
48,Very satisfied,Spend more,Liberal,Ontario,Some university,20,
49,Don't know/ Prefer not to answer,Spend more,ndp,Ontario,Some university,19,ndp
50,Fairly satisfied,Spend more,Liberal,Ontario,Some university,19,Don't know/ Prefer not to answer
51,Not at all satisfied,Spend more,None of these,Ontario,Some university,23,ndp
52,Don't know/ Prefer not to answer,Spend more,ndp,Ontario,Completed secondary/ high school,21,Liberal Party
53,Not very satisfied,Spend more,Liberal,Ontario,Completed secondary/ high school,20,Green Party
54,Fairly satisfied,Spend more,None of these,Ontario,Some university,22,ndp
55,Fairly satisfied,Spend more,Liberal,Ontario,Some university,20,ndp
56,Fairly satisfied,Spend more,Liberal,Ontario,Some university,19,Liberal Party
57,Fairly satisfied,Spend more,ndp,Ontario,Some university,20,Green Party
58,Fairly satisfied,Spend more,Liberal,Ontario,Some university,21,Liberal Party
59,Not very satisfied,Spend more,ndp,Ontario,Bachelor's degree,23,Green Party
60,Not very satisfied,Spend more,Liberal,Ontario,Completed secondary/ high school,19,
61,Very satisfied,Spend more,Liberal,Ontario,Some university,19,
62,Fairly satisfied,Spend more,Liberal,Ontario,Some university,19,Don't know/ Prefer not to answer
63,Not very satisfied,Spend more,Liberal,Ontario,Some secondary/ high school,22,ndp
64,Fairly satisfied,Spend more,ndp,Ontario,Completed secondary/ high school,19,ndp
65,Fairly satisfied,Spend more,Liberal,Ontario,Completed secondary/ high school,20,Liberal Party
66,Fairly satisfied,Spend more,Liberal,Ontario,Completed secondary/ high school,21,
67,Not very satisfied,Spend more,Conservative,Ontario,Some university,20,
68,Not very satisfied,Spend more,ndp,Ontario,Bachelor's degree,20,ndp
69,Not very satisfied,Spend more,Liberal,Ontario,Some university,22,Green Party
70,Fairly satisfied,Spend more,Liberal,Ontario,Bachelor's degree,22,Liberal Party
71,Fairly satisfied,Spend more,ndp,Ontario,Some university,19,Conservative Party
72,Not at all satisfied,Spend more,Conservative,Ontario,Some university,22,Another party (please specify)
73,Not at all satisfied,Spend more,ndp,Ontario,"Some technical, community college, CEGEP, College Classique",50,Don't know/ Prefer not to answer
74,Fairly satisfied,Spend more,Liberal,Quebec,"Completed technical, community college, CEGEP, College Classique",63,
75,Not very satisfied,Spend less,None of these,Ontario,Bachelor's degree,72,Don't know/ Prefer not to answer
76,Not very satisfied,Spend more,ndp,Ontario,Master's degree,28,
77,Not at all satisfied,Spend more,Conservative,British Columbia,Bachelor's degree,59,Conservative Party
78,Fairly satisfied,Spend more,Liberal,Ontario,"Some technical, community college, CEGEP, College Classique",60,
79,Not very satisfied,Spend more,Liberal,Ontario,Professional degree or doctorate,63,Green Party
80,Fairly satisfied,Spend more,Liberal,Ontario,Bachelor's degree,29,Liberal Party
81,Fairly satisfied,Spend more,Green,Ontario,"Some technical, community college, CEGEP, College Classique",57,Green Party
82,Not at all satisfied,Spend more,Conservative,Alberta,Bachelor's degree,65,Conservative Party
83,Not at all satisfied,Spend more,Conservative,Saskatchewan,Completed secondary/ high school,63,
84,Not at all satisfied,Spend more,None of these,Quebec,Some university,44,Conservative Party
85,Not at all satisfied,Spend about the same as now,Green,Quebec,"Some technical, community college, CEGEP, College Classique",41,Another party (please specify)
86,Very satisfied,Spend about the same as now,Conservative,Alberta,Bachelor's degree,42,Liberal Party
87,Fairly satisfied,Spend more,Liberal,Ontario,Bachelor's degree,32,Liberal Party
88,Fairly satisfied,Spend more,None of these,Ontario,Bachelor's degree,59,Liberal Party
89,Fairly satisfied,Spend more,None of these,Ontario,"Completed technical, community college, CEGEP, College Classique",34,Green Party
90,Fairly satisfied,Spend more,Liberal,British Columbia,Bachelor's degree,67,Liberal Party
91,Not at all satisfied,Spend more,Liberal,British Columbia,Professional degree or doctorate,66,Don't know/ Prefer not to answer
92,Not at all satisfied,Spend more,Bloc Qu<e9>b<e9>cois,Quebec,Master's degree,67,Conservative Party
93,Not very satisfied,Spend more,Conservative,Ontario,Completed secondary/ high school,37,Green Party
94,Not at all satisfied,Spend less,Conservative,Ontario,Bachelor's degree,47,Conservative Party
95,Not at all satisfied,Spend about the same as now,Conservative,Ontario,Bachelor's degree,68,Conservative Party
96,Not very satisfied,Spend about the same as now,Liberal,Alberta,"Completed technical, community college, CEGEP, College Classique",63,Don't know/ Prefer not to answer
97,Very satisfied,Spend more,Liberal,Ontario,Bachelor's degree,30,Liberal Party
98,Not at all satisfied,Spend more,Conservative,Quebec,Completed secondary/ high school,59,
99,Fairly satisfied,Spend more,ndp,British Columbia,Bachelor's degree,61,Green Party
100,Not at all satisfied,Spend more,ndp,Quebec,"Completed technical, community college, CEGEP, College Classique",31,ndp
101,Don't know/ Prefer not to answer,Don't know/ Prefer not to answer,Don't know/ Prefer not to answer,Ontario,Bachelor's degree,42,Don't know/ Prefer not to answer
102,Very satisfied,Spend more,Liberal,Ontario,"Some technical, community college, CEGEP, College Classique",65,Liberal Party
103,Not at all satisfied,Spend less,Conservative,Alberta,"Completed technical, community college, CEGEP, College Classique",47,Conservative Party
104,Fairly satisfied,Spend about the same as now,Liberal,Manitoba,Bachelor's degree,64,
105,Not very satisfied,Spend more,ndp,Ontario,Bachelor's degree,69,Don't know/ Prefer not to answer
106,Not at all satisfied,Spend about the same as now,Conservative,Newfoundland and Labrador,"Completed technical, community college, CEGEP, College Classique",64,Don't know/ Prefer not to answer
107,Fairly satisfied,Spend about the same as now,None of these,Alberta,Master's degree,49,Don't know/ Prefer not to answer
108,Fairly satisfied,Spend about the same as now,Liberal,Saskatchewan,"Completed technical, community college, CEGEP, College Classique",65,Liberal Party
109,Very satisfied,Spend more,Liberal,Quebec,"Completed technical, community college, CEGEP, College Classique",76,Liberal Party
110,Not at all satisfied,Spend more,Liberal,Quebec,Bachelor's degree,55,Liberal Party
111,Not very satisfied,Spend more,None of these,British Columbia,"Some technical, community college, CEGEP, College Classique",56,
112,Not at all satisfied,Spend more,Conservative,Saskatchewan,Bachelor's degree,63,Conservative Party
113,Fairly satisfied,Spend more,Liberal,Quebec,Completed secondary/ high school,52,Liberal Party
114,Fairly satisfied,Spend about the same as now,None of these,Ontario,Bachelor's degree,46,
115,Not very satisfied,Spend more,Don't know/ Prefer not to answer,Nova Scotia,Bachelor's degree,69,Don't know/ Prefer not to answer
116,Not very satisfied,Spend about the same as now,Conservative,Ontario,Some university,47,Conservative Party
117,Not very satisfied,Spend more,ndp,Ontario,Master's degree,38,Conservative Party
118,Fairly satisfied,Spend more,Bloc Qu<e9>b<e9>cois,Quebec,Some secondary/ high school,25,Don't know/ Prefer not to answer
119,Not at all satisfied,Spend more,Green,Prince Edward Island,"Completed technical, community college, CEGEP, College Classique",57,Green Party
120,Not very satisfied,Spend more,Conservative,British Columbia,"Some technical, community college, CEGEP, College Classique",68,Conservative Party
121,Not at all satisfied,Spend less,None of these,Alberta,Bachelor's degree,67,Conservative Party
122,Not at all satisfied,Spend more,Liberal,Quebec,Master's degree,59,Conservative Party
123,Fairly satisfied,Spend about the same as now,Liberal,Ontario,Bachelor's degree,28,ndp
124,Fairly satisfied,Spend about the same as now,Liberal,Ontario,Some university,63,Liberal Party
125,Fairly satisfied,Spend more,Conservative,Alberta,Bachelor's degree,61,Green Party
126,Fairly satisfied,Spend about the same as now,ndp,Quebec,Bachelor's degree,29,Liberal Party
127,Not at all satisfied,Spend about the same as now,Conservative,Ontario,Some university,73,Conservative Party
128,Not at all satisfied,Spend more,Conservative,Ontario,Some secondary/ high school,69,Conservative Party
129,Fairly satisfied,Spend more,Don't know/ Prefer not to answer,Ontario,Bachelor's degree,67,Liberal Party
130,Fairly satisfied,Spend about the same as now,Liberal,Quebec,"Completed technical, community college, CEGEP, College Classique",49,Liberal Party
131,Not at all satisfied,Spend about the same as now,Don't know/ Prefer not to answer,Ontario,Completed secondary/ high school,62,Don't know/ Prefer not to answer
132,Not at all satisfied,Spend less,Conservative,Nova Scotia,Professional degree or doctorate,47,Conservative Party
133,Fairly satisfied,Spend more,Liberal,Ontario,Bachelor's degree,54,Liberal Party
134,Not very satisfied,Spend more,None of these,Quebec,Completed secondary/ high school,55,Green Party
135,Very satisfied,Spend about the same as now,Liberal,Manitoba,"Completed technical, community college, CEGEP, College Classique",41,Liberal Party
136,Not very satisfied,Spend more,Bloc Qu<e9>b<e9>cois,Quebec,Master's degree,54,Bloc Qu<e9>b<e9>cois
137,Not at all satisfied,Spend about the same as now,Conservative,Alberta,Bachelor's degree,34,Conservative Party
138,Not at all satisfied,Spend about the same as now,Conservative,British Columbia,"Some technical, community college, CEGEP, College Classique",66,Conservative Party
139,Very satisfied,Spend less,Liberal,Quebec,"Some technical, community college, CEGEP, College Classique",48,Liberal Party
140,Fairly satisfied,Spend more,Liberal,British Columbia,Master's degree,68,Liberal Party
141,Not at all satisfied,Spend about the same as now,ndp,Ontario,Completed secondary/ high school,53,Liberal Party
142,Very satisfied,Spend more,Liberal,Nova Scotia,Some university,68,Liberal Party
143,Fairly satisfied,Spend about the same as now,Liberal,Quebec,Completed secondary/ high school,65,Liberal Party
144,Fairly satisfied,Spend more,Liberal,Quebec,Bachelor's degree,28,Don't know/ Prefer not to answer
145,Not very satisfied,Spend more,Don't know/ Prefer not to answer,Manitoba,"Completed technical, community college, CEGEP, College Classique",40,
146,Not very satisfied,Spend more,ndp,Quebec,Bachelor's degree,28,Don't know/ Prefer not to answer
147,Not very satisfied,Spend more,None of these,Ontario,"Some technical, community college, CEGEP, College Classique",69,Don't know/ Prefer not to answer
148,Very satisfied,Spend more,Liberal,Ontario,"Completed technical, community college, CEGEP, College Classique",35,Liberal Party
149,Very satisfied,Spend more,Liberal,New Brunswick,Bachelor's degree,34,Liberal Party
150,Not at all satisfied,Spend about the same as now,None of these,Alberta,Bachelor's degree,56,
151,Not at all satisfied,Spend about the same as now,Conservative,Ontario,Bachelor's degree,28,Conservative Party
152,Fairly satisfied,Spend about the same as now,Liberal,Quebec,Completed secondary/ high school,68,
153,Not very satisfied,Spend more,Green,Ontario,"Completed technical, community college, CEGEP, College Classique",50,Green Party
154,Fairly satisfied,Spend about the same as now,None of these,Ontario,Bachelor's degree,39,
155,Not at all satisfied,Spend more,Liberal,Alberta,Some university,61,Liberal Party
156,Not at all satisfied,Spend about the same as now,Conservative,Manitoba,"Some technical, community college, CEGEP, College Classique",54,Conservative Party
157,Not very satisfied,Spend about the same as now,Conservative,Manitoba,Completed secondary/ high school,60,Conservative Party
158,Not very satisfied,Spend more,Liberal,British Columbia,Master's degree,54,Liberal Party
159,Don't know/ Prefer not to answer,Spend more,None of these,Quebec,"Some technical, community college, CEGEP, College Classique",46,Another party (please specify)
160,Not very satisfied,Don't know/ Prefer not to answer,None of these,Quebec,Completed secondary/ high school,60,Don't know/ Prefer not to answer
161,Fairly satisfied,Spend about the same as now,Don't know/ Prefer not to answer,Ontario,"Some technical, community college, CEGEP, College Classique",63,Don't know/ Prefer not to answer
162,Not at all satisfied,Spend about the same as now,Liberal,Ontario,Bachelor's degree,67,Conservative Party
163,Not at all satisfied,Spend about the same as now,Conservative,Ontario,Bachelor's degree,51,Conservative Party
164,Not very satisfied,Spend more,ndp,Ontario,Completed secondary/ high school,72,ndp
165,Not at all satisfied,Spend more,Don't know/ Prefer not to answer,Quebec,"Some technical, community college, CEGEP, College Classique",56,Don't know/ Prefer not to answer
166,Not very satisfied,Spend more,ndp,Ontario,Master's degree,63,ndp
167,Not at all satisfied,Spend more,None of these,Ontario,"Completed technical, community college, CEGEP, College Classique",39,Conservative Party
168,Not very satisfied,Don't know/ Prefer not to answer,Conservative,Ontario,Some university,63,Conservative Party
169,Not at all satisfied,Spend less,None of these,Ontario,Master's degree,61,Another party (please specify)
170,Not at all satisfied,Spend about the same as now,Conservative,Ontario,"Completed technical, community college, CEGEP, College Classique",65,Conservative Party
171,Not at all satisfied,Spend less,Conservative,Quebec,"Completed technical, community college, CEGEP, College Classique",72,Conservative Party
172,Fairly satisfied,Spend more,Liberal,Ontario,Bachelor's degree,99,Green Party
173,Not at all satisfied,Spend about the same as now,Conservative,Ontario,Some secondary/ high school,81,Conservative Party
174,Fairly satisfied,Spend about the same as now,None of these,Ontario,Master's degree,30,Don't know/ Prefer not to answer
175,Not at all satisfied,Spend about the same as now,Conservative,Ontario,Bachelor's degree,37,Conservative Party
176,Not at all satisfied,Spend about the same as now,Green,Nova Scotia,"Some technical, community college, CEGEP, College Classique",52,Green Party
177,Not at all satisfied,Spend less,Conservative,Alberta,Professional degree or doctorate,55,Conservative Party
178,Very satisfied,Spend more,Liberal,Ontario,Bachelor's degree,49,
179,Not at all satisfied,Spend about the same as now,Conservative,Ontario,Some university,81,Conservative Party
180,Not very satisfied,Spend more,ndp,Ontario,Don't know/ Prefer not to answer,66,ndp
181,Fairly satisfied,Spend more,Liberal,Ontario,Some university,73,Liberal Party
182,Not at all satisfied,Spend more,None of these,Quebec,Completed secondary/ high school,30,Don't know/ Prefer not to answer
183,Not very satisfied,Spend more,Conservative,Ontario,Bachelor's degree,53,Conservative Party
184,Don't know/ Prefer not to answer,Spend about the same as now,Liberal,Ontario,Completed secondary/ high school,57,
185,Not very satisfied,Spend about the same as now,Don't know/ Prefer not to answer,Ontario,Professional degree or doctorate,84,Don't know/ Prefer not to answer
186,Not at all satisfied,Spend about the same as now,Don't know/ Prefer not to answer,Ontario,Completed secondary/ high school,69,
187,Not at all satisfied,Spend more,Conservative,Ontario,"Completed technical, community college, CEGEP, College Classique",80,
188,Very satisfied,Spend more,Liberal,Ontario,Bachelor's degree,25,Liberal Party
189,Fairly satisfied,Spend about the same as now,Liberal,Ontario,Bachelor's degree,36,Liberal Party
190,Fairly satisfied,Spend about the same as now,Conservative,Ontario,Completed secondary/ high school,60,Conservative Party
191,Not at all satisfied,Spend more,Another party (please specify),Ontario,Master's degree,69,Another party (please specify)
192,Not very satisfied,Spend less,Liberal,Ontario,Bachelor's degree,58,Conservative Party
193,Fairly satisfied,Spend about the same as now,Liberal,Quebec,Bachelor's degree,63,Conservative Party
194,Not very satisfied,Spend more,None of these,Ontario,Completed secondary/ high school,19,Liberal Party
195,Fairly satisfied,Spend more,None of these,Ontario,Bachelor's degree,26,Green Party
196,Not very satisfied,Spend less,Liberal,Quebec,"Some technical, community college, CEGEP, College Classique",64,Conservative Party
197,Very satisfied,Spend more,Liberal,New Brunswick,Bachelor's degree,57,ndp
198,Not very satisfied,Spend about the same as now,Bloc Qu<e9>b<e9>cois,Quebec,"Some technical, community college, CEGEP, College Classique",65,Bloc Qu<e9>b<e9>cois
199,Fairly satisfied,Spend more,Conservative,Ontario,"Completed technical, community college, CEGEP, College Classique",60,Don't know/ Prefer not to answer
200,Not at all satisfied,Spend more,ndp,Ontario,Bachelor's degree,43,Don't know/ Prefer not to answer
201,Fairly satisfied,Spend more,None of these,Quebec,"Completed technical, community college, CEGEP, College Classique",63,Liberal Party
202,Not at all satisfied,Spend more,ndp,Nova Scotia,"Completed technical, community college, CEGEP, College Classique",58,ndp
203,Not at all satisfied,Spend about the same as now,Conservative,Quebec,Bachelor's degree,55,Conservative Party
204,Fairly satisfied,Spend less,Liberal,Quebec,Completed secondary/ high school,58,
205,Fairly satisfied,Spend more,Liberal,Ontario,"Completed technical, community college, CEGEP, College Classique",74,Liberal Party
206,Fairly satisfied,Spend more,ndp,Ontario,Completed secondary/ high school,56,ndp
207,Not very satisfied,Spend more,Green,Ontario,Completed secondary/ high school,36,Green Party
208,Very satisfied,Spend less,Conservative,Quebec,Completed elementary school,42,
209,Not very satisfied,Spend about the same as now,Conservative,Ontario,Bachelor's degree,50,Conservative Party
210,Not very satisfied,Spend more,Bloc Qu<e9>b<e9>cois,Quebec,"Completed technical, community college, CEGEP, College Classique",73,Green Party
211,Not at all satisfied,Spend about the same as now,Don't know/ Prefer not to answer,Ontario,Master's degree,40,
212,Fairly satisfied,Spend more,Liberal,Ontario,Master's degree,82,Liberal Party
213,Fairly satisfied,Spend about the same as now,Conservative,Saskatchewan,Bachelor's degree,41,Conservative Party
214,Fairly satisfied,Spend more,Liberal,Ontario,Master's degree,80,Don't know/ Prefer not to answer
215,Not very satisfied,Spend more,Conservative,Ontario,"Some technical, community college, CEGEP, College Classique",55,Conservative Party
216,Fairly satisfied,Spend more,ndp,Ontario,Professional degree or doctorate,71,ndp
217,Fairly satisfied,Spend more,Liberal,Ontario,Bachelor's degree,42,
218,Not at all satisfied,Spend less,Conservative,Alberta,Bachelor's degree,32,Conservative Party
219,Not at all satisfied,Spend more,Bloc Qu<e9>b<e9>cois,Quebec,Bachelor's degree,57,Conservative Party
220,Fairly satisfied,Spend more,Liberal,Ontario,Bachelor's degree,56,Liberal Party
221,Fairly satisfied,Spend more,Liberal,Ontario,Bachelor's degree,60,Liberal Party
222,Not at all satisfied,Spend about the same as now,Conservative,Newfoundland and Labrador,Bachelor's degree,64,Conservative Party
223,Not at all satisfied,Spend more,Green,Quebec,Completed secondary/ high school,23,Green Party
224,Very satisfied,Spend more,Liberal,Ontario,Some secondary/ high school,68,
225,Very satisfied,Spend more,Liberal,Ontario,Master's degree,28,Liberal Party
226,Fairly satisfied,Spend more,Liberal,Ontario,Bachelor's degree,72,Green Party
227,Not very satisfied,Spend more,None of these,Quebec,Completed secondary/ high school,64,
228,Not very satisfied,Spend about the same as now,Conservative,Ontario,Master's degree,40,Conservative Party
229,Very satisfied,Spend about the same as now,Liberal,Ontario,Master's degree,78,Liberal Party
230,Not very satisfied,Spend more,Green,Quebec,Some university,29,Green Party
231,Not very satisfied,Spend about the same as now,Conservative,Quebec,Completed secondary/ high school,59,Conservative Party
232,Fairly satisfied,Spend about the same as now,None of these,British Columbia,Bachelor's degree,45,
233,Very satisfied,Spend more,Green,British Columbia,"Completed technical, community college, CEGEP, College Classique",33,Don't know/ Prefer not to answer
234,Not at all satisfied,Spend more,Don't know/ Prefer not to answer,Quebec,Some university,47,Conservative Party
235,Not at all satisfied,Spend less,Conservative,New Brunswick,Completed secondary/ high school,68,Another party (please specify)
236,Not very satisfied,Spend more,Liberal,Ontario,"Completed technical, community college, CEGEP, College Classique",70,ndp
237,Not very satisfied,Spend about the same as now,Conservative,Ontario,"Completed technical, community college, CEGEP, College Classique",67,Conservative Party
238,Not at all satisfied,Spend more,Conservative,Ontario,Completed secondary/ high school,43,Conservative Party
239,Not very satisfied,Spend about the same as now,Conservative,Quebec,Bachelor's degree,62,Conservative Party
240,Not at all satisfied,Spend about the same as now,ndp,Ontario,"Some technical, community college, CEGEP, College Classique",41,Don't know/ Prefer not to answer
241,Not very satisfied,Spend more,Liberal,Ontario,Completed secondary/ high school,68,Liberal Party
242,Not very satisfied,Spend less,Liberal,Quebec,Bachelor's degree,62,Don't know/ Prefer not to answer
243,Fairly satisfied,Spend about the same as now,Liberal,Ontario,"Some technical, community college, CEGEP, College Classique",33,Liberal Party
244,Not at all satisfied,Spend more,ndp,Quebec,Completed secondary/ high school,35,ndp
245,Not at all satisfied,Spend about the same as now,Conservative,New Brunswick,"Completed technical, community college, CEGEP, College Classique",79,Conservative Party
246,Fairly satisfied,Spend less,Conservative,Ontario,Master's degree,46,
247,Not at all satisfied,Spend about the same as now,Conservative,Prince Edward Island,Completed secondary/ high school,34,Conservative Party
248,Fairly satisfied,Spend about the same as now,Liberal,Ontario,Professional degree or doctorate,47,Liberal Party
249,Not at all satisfied,Spend more,Bloc Qu<e9>b<e9>cois,Quebec,Completed secondary/ high school,74,Conservative Party
250,Not at all satisfied,Spend about the same as now,Conservative,Ontario,Bachelor's degree,46,Conservative Party
251,Not very satisfied,Spend more,Conservative,Quebec,Master's degree,47,Green Party
252,Fairly satisfied,Spend more,Liberal,Alberta,Some secondary/ high school,36,Conservative Party
253,Very satisfied,Spend less,Conservative,Ontario,Professional degree or doctorate,30,ndp
254,Fairly satisfied,Spend more,Liberal,Ontario,Master's degree,52,Liberal Party
255,Not at all satisfied,Spend less,Conservative,Ontario,Completed secondary/ high school,74,Conservative Party
256,Fairly satisfied,Spend more,Liberal,Ontario,Bachelor's degree,71,Green Party
257,Not at all satisfied,Spend more,Bloc Qu<e9>b<e9>cois,Quebec,Bachelor's degree,48,Bloc Qu<e9>b<e9>cois
258,Not very satisfied,Spend more,Don't know/ Prefer not to answer,Ontario,Bachelor's degree,75,Don't know/ Prefer not to answer
259,Not at all satisfied,Spend about the same as now,None of these,Nova Scotia,"Some technical, community college, CEGEP, College Classique",65,Conservative Party
260,Fairly satisfied,Spend more,Liberal,Ontario,Bachelor's degree,86,
261,Fairly satisfied,Spend more,Liberal,Ontario,Bachelor's degree,73,Liberal Party
262,Fairly satisfied,Spend about the same as now,Liberal,Ontario,"Some technical, community college, CEGEP, College Classique",63,
263,Not very satisfied,Spend more,Bloc Qu<e9>b<e9>cois,Quebec,Bachelor's degree,54,Don't know/ Prefer not to answer
264,Fairly satisfied,Spend about the same as now,Liberal,Ontario,"Completed technical, community college, CEGEP, College Classique",50,Don't know/ Prefer not to answer
265,Very satisfied,Spend less,Conservative,Ontario,Master's degree,44,People's Party
266,Don't know/ Prefer not to answer,Spend more,None of these,Quebec,Bachelor's degree,40,Green Party
267,Fairly satisfied,Spend more,None of these,New Brunswick,"Completed technical, community college, CEGEP, College Classique",56,Green Party
268,Not very satisfied,Spend about the same as now,Don't know/ Prefer not to answer,New Brunswick,"Completed technical, community college, CEGEP, College Classique",34,
269,Not at all satisfied,Spend about the same as now,ndp,Ontario,"Completed technical, community college, CEGEP, College Classique",59,Don't know/ Prefer not to answer
270,Not at all satisfied,Spend more,Conservative,Ontario,"Completed technical, community college, CEGEP, College Classique",57,
271,Fairly satisfied,Spend more,ndp,Ontario,Bachelor's degree,59,ndp
272,Fairly satisfied,Spend more,Liberal,Ontario,Bachelor's degree,63,Liberal Party
273,Not at all satisfied,Spend about the same as now,None of these,Ontario,"Some technical, community college, CEGEP, College Classique",61,Another party (please specify)
274,Fairly satisfied,Spend about the same as now,Liberal,Ontario,"Some technical, community college, CEGEP, College Classique",54,Liberal Party
275,Not very satisfied,Spend more,Don't know/ Prefer not to answer,Ontario,"Some technical, community college, CEGEP, College Classique",67,Don't know/ Prefer not to answer
276,Very satisfied,Spend less,Liberal,Ontario,"Some technical, community college, CEGEP, College Classique",72,Liberal Party
277,Not at all satisfied,Spend about the same as now,Conservative,Ontario,Completed secondary/ high school,53,Conservative Party
278,Fairly satisfied,Spend more,Bloc Qu<e9>b<e9>cois,Quebec,"Completed technical, community college, CEGEP, College Classique",30,Don't know/ Prefer not to answer
279,Not very satisfied,Spend about the same as now,Don't know/ Prefer not to answer,Alberta,Bachelor's degree,23,Conservative Party
280,Not very satisfied,Spend more,Liberal,Newfoundland and Labrador,Bachelor's degree,59,Liberal Party
281,Not at all satisfied,Don't know/ Prefer not to answer,Don't know/ Prefer not to answer,Quebec,"Completed technical, community college, CEGEP, College Classique",60,Don't know/ Prefer not to answer
282,Very satisfied,Spend about the same as now,Liberal,Ontario,Some secondary/ high school,73,Liberal Party
283,Not very satisfied,Spend more,Don't know/ Prefer not to answer,Quebec,Some university,59,Don't know/ Prefer not to answer
284,Not very satisfied,Spend about the same as now,Liberal,Quebec,Some university,69,
285,Not very satisfied,Spend more,Liberal,Ontario,Some university,83,Liberal Party
286,Fairly satisfied,Spend more,Liberal,Quebec,Bachelor's degree,57,Green Party
287,Not at all satisfied,Spend about the same as now,Liberal,Quebec,Bachelor's degree,58,Conservative Party
288,Very satisfied,Spend more,Liberal,Ontario,Master's degree,50,Liberal Party
289,Not at all satisfied,Spend about the same as now,Conservative,Newfoundland and Labrador,"Some technical, community college, CEGEP, College Classique",73,Conservative Party
290,Not very satisfied,Spend more,Liberal,Nova Scotia,Completed secondary/ high school,79,Conservative Party
